05fbaf5d-950c-4d87-9ccc-5969166fa807	You are using an Infrastructure as a Service (IaaS) offering from a cloud provider. Under the shared responsibility model, who is responsible for patching the "operating" system?	The cloud provider	The customer	Both the cloud provider and the customer equally	Neither party; the OS patches itself automatically					The customer										ref_id	prompt_id	note_id	MCSA
45af4ac4-aedc-4dc8-b2a9-d2a02f25c3dc	A company wants to keep sensitive financial data on infrastructure it fully controls, but also wants to use a public cloud provider's elastic compute resources during periods of unusually high demand. Which cloud deployment model best fits this requirement?	Public cloud	Private cloud	Hybrid cloud	Community cloud					Hybrid cloud										ref_id	prompt_id	note_id	MCSA
b4c2aace-5c9d-490b-bcbb-8b55433ec33c	Which pricing model allows a customer to pay only for the compute resources they actually consume, with no upfront commitment or long-term contract?	Reserved Instances	Spot pricing	Pay-as-you-go	Capital expenditure (CapEx)					Pay-as-you-go										ref_id	prompt_id	note_id	MCSA
81494d4f-fb59-4307-a740-262b9f3b1cf8	A development team wants to run short-lived, event-triggered code (e.g., resizing an image whenever it's uploaded) without provisioning or managing any servers, and only pay when the code actually runs. Which type of cloud computing model should they use?	Infrastructure as a Service (IaaS)	Platform as a Service (PaaS)	Serverless computing	Private cloud					Serverless computing										ref_id	prompt_id	note_id	MCSA
fdb2c1dc-63c8-401a-879f-df7c322111e8	Which statement correctly describes the difference between capital expenditure (CapEx) and operational expenditure (OpEx)?	CapEx is a recurring, pay-as-you-go expense, while OpEx requires large upfront investment	CapEx requires upfront investment in physical infrastructure, while OpEx is an ongoing expense based on consumption	CapEx and OpEx are the same thing, just different accounting terms	Cloud computing always uses a CapEx model					CapEx requires upfront investment in physical infrastructure, while OpEx is an ongoing expense based on consumption										ref_id	prompt_id	note_id	MCSA
6756f648-dc0f-4e5b-8f9d-6af5e536eff3	A company wants to increase the processing power of a single virtual machine by adding more CPU and memory to handle increased demand, without adding additional VMs. Which type of scaling does this describe?	Horizontal scaling (scale out)	Vertical scaling (scale up)	Auto-scaling	Load balancing					Vertical scaling (scale up)										ref_id	prompt_id	note_id	MCSA
1a18b17e-45c1-437c-bba2-250c2f0a17a1	Which Azure concept refers to a set of physically separate datacenters within a single region, each with independent power, cooling, and networking, used to protect applications from datacenter-level failures?	Region pairs	Resource groups	Availability zones	Management groups					Availability zones										ref_id	prompt_id	note_id	MCSA
ed5991a7-917f-4168-b868-151dc729ab3c	A company needs to determine the maximum amount of data (measured in time) it can afford to lose in the event of a disaster. Which term describes this metric?	Recovery Time Objective (RTO)	Recovery Point Objective (RPO)	Service Level Agreement (SLA)	Mean Time to Recovery (MTTR)					Recovery Point Objective (RPO)										ref_id	prompt_id	note_id	MCSA
396dcd07-2812-4e01-98b8-c07abbed4280	Which Azure tool would you use to enforce organization-wide rules, such as requiring all resources to be deployed only to specific regions or requiring cost-center tags on every resource?	Microsoft Defender for Cloud	Azure Monitor	Azure Policy	Azure Advisor					Azure Policy										ref_id	prompt_id	note_id	MCSA
74c6251b-310d-4327-9abd-1e20403c4b0a	Which of the following best describes "cost predictability" as a benefit of cloud computing?	The ability to guarantee that cloud costs will never increase	The ability to forecast and plan for expected cloud spending using tools like pricing calculators and budgets	The ability to eliminate all operational expenses	The ability to automatically reduce the price of reserved instances over time					The ability to forecast and plan for expected cloud spending using tools like pricing calculators and budgets										ref_id	prompt_id	note_id	MCSA
3d920dd1-2ca3-42eb-8650-ab1c81e953b0	Which of the following is an example of managing Azure resources "through the cloud" rather than "of the cloud"?	Auto-scaling a virtual machine scale set based on CPU usage	Using the Azure Portal to create and configure a new storage account	Automatically restarting a failed VM instance	Load balancing traffic across multiple VM instances					Using the Azure Portal to create and configure a new storage account										ref_id	prompt_id	note_id	MCSA
af0fa95e-f5f0-425c-98f7-a659eb0256a9	A company is migrating an on-premises application to Azure. The company wants to retain full control over the operating system, including the ability to install custom software and apply specific OS-level configurations. Which cloud service type should they choose?	Software as a Service (SaaS)	Platform as a Service (PaaS)	Infrastructure as a Service (IaaS)	Function as a Service (FaaS)					Infrastructure as a Service (IaaS)										ref_id	prompt_id	note_id	MCSA
0208d327-7e96-42c0-9720-eb54397cfc72	Which statement about Availability Zones is correct?	Availability zones protect against failures across an entire geography	Availability zones are physically separate datacenters within a single region, each with independent power, cooling, and networking	Every Azure region has availability zones	Availability zones replace the need for region pairs					Availability zones are physically separate datacenters within a single region, each with independent power, cooling, and networking										ref_id	prompt_id	note_id	MCSA
e50bb5ea-23a0-4e47-9d82-7f3866b470b3	What happens to the resources contained within a resource group if that resource group is deleted?	The resources are moved to the default resource group automatically	The resources are deleted along with the resource group	The resources remain but become inaccessible	Azure prevents the resource group from being deleted if it contains resources					The resources are deleted along with the resource group										ref_id	prompt_id	note_id	MCSA
8d62cd37-5d4a-4c03-b7ac-32bf79f0ba50	quiz	opt1	opt2	opt3	opt4					ans1										ref_id	prompt_id	note_id	MCSA
